clean_description,NAICS Code,label
foot locker inc foot locker is a specialty retailer of athletic footwear and apparel,448150,630
cengage is the education and technology company built for learners confident students are successful learners so we design tools that keep them moving toward their goals we develop transformational cutting edge teaching and learning tools that promote analysis evaluation synthesis and application,511130,744
cardinal scale manufacturing company manufactures and markets weighing products and systems the company offers baker dough bench counting floor hanging ingredient livestock mail overhead track portable portion price computing railroad track hopper top loading dial and truck scales,333997,400
alticor inc owns and manages manufacturing and distribution facilities the company offers products business opportunities and logistics services alticor serves customers worldwide,454390,661
rosboro is north america s largest producer of glue laminated timber founded over 100 years ago we are a company rooted in tradition but continuously adapting to the changing needs of our customers,335110,428
rs legacy corporation was founded in 1963 the company s line of business includes the retail sale of radios televisions and other consumer electronics,443142,593
amway international inc wholesales and distributes a wide variety of home and personal products the company offers products for nutrition beauty bath body home care food and beverages amway international provides their products to customers worldwide,454390,661
carl zeiss inc develops and manufactures optical and opto electronic instruments the company offers ophthalmic binoculars and riflescopes camera and cine lenses planetariums electron and ion microscopes industrial metrology spectrometers optronics and other optical products,333314,373
lighthouse document technologies inc provides it service the company offers technological solutions ediscovery and advisory service lighthouse document technologies serves customers in the united states,517919,782
the jones financial companies l l l p operates as an investment management company the company offers wealth management retirement savings insurance annuities mutual funds stocks investment strategies financial planning and advisory services jones financial serves customers in the united states and canada,523120,806
about us our vision at natural markets food group is to develop the brands our customers trust most when it comes to fresh healthy natural foods our highest goal is to inspire customers and team members alike to understand the impact these products have on their overall health and happiness,446191,622
fred s inc operates discount general merchandise stores in the southeastern united states the company also markets goods and services through fred s super dollar stores and pharmacies and fred s xpress pharmacies,452319,648
rother bros inc is a family owned dealership started by its three owners in kingfisher ok in 1976 it remains a family owned and operated dealership to this day now expanded to three locations covering western oklahoma,444210,600
morrison foerster llp operates as a law firm the firm s areas of practice include domestic and international corporate finance securities and capital markets united states antitrust competition banking and finance law morrison foerster serves customers worldwide,321214,213
eastbay inc retails athletic products through catalogs the company offers athletic footwear apparel training and fitting equipment and other sports products,448190,631
barton mines company l l c manufactures abrasives and cutting equipment the company offers replacement parts abrasive removal system diamond cutting head and waterjet parts barton mines operates worldwide,212399,86
about us global value lighting perfects how led lighting is sold through retail by combining private label merchandising expertise refined technological innovation and factory direct costs global value lighting has cracked the code for customer adoption of led lighting,335110,428
ahlstrom is the global leader in fiber based specialty materials our purpose is to purify and protect with every fiber for a sustainable world our vision is to be the preferred sustainable specialty materials company for all our stakeholders,322121,225
firstsource llc operates as a distributor of food products the company offers fine confections gourmet foods chocolates and cookies,445299,616
we specialize in websites social media marketing local listing claiming reputation management digital ads including google adwords and facebook ads online advertising yellow page listings and more for businesses in maine maryland ohio pennsylvania west virginia virginia and florida,511140,745
golf galaxy llc operates as a chain of retail stores the company offers golf equipments apparels shoes gifts accessories books and videos,451110,640
white energy is one of the nation s leading producers of low carbon biofuels and animal feed it owns and operates two state of the art grain processing facilities in texas white energy has the capacity to produce more than 250 million gallons of ethanol per year,811219,1051
description manufacturer of graphic arts systems the company offers laser engraved ceramic chrome anilox rolls embossing rolls and machinery gravure cylinders and photopolymer printing plates,333244,369
louis vuitton north america inc was founded in 1999 the company s line of business includes the retail sale of luggage trunks and leather goods,448320,634
destination xl group inc is the largest integrated commerce specialty retailer of big tall men s clothing and shoes offering the most extensive assortment of brands and exclusive styles for big tall men dxl allows big tall guys the freedom to choose their own style,448190,631
wss is a retail company that offers athletic and casual footwear wss provides the best brands greatest values and the largest selection of athletic dress fashion and casual footwear for the entire family,448210,632
templeton worldwide inc operates as an investment management firm the company offers portfolio management and advisory services to individuals institutions trusts private funds charitable organizations and investment companies templeton worldwide serves customers globally,523110,805
barnie s ii inc doing business as barnie s coffee tea co operates as a coffee store the company provides single serve cups ground and whole bean bags barnie s coffee tea serves customers in the state of florida,445299,616
continental distributing company inc was founded in 1933 the company s line of business includes the wholesale distribution of distilled spirits including neutral spirits and ethyl alcohol used in blended wines and distilled liquors,454210,659
stewart information services corp overview it offers insurance products for title commercial errors and omissions homeowners commercial auto cyber surety bonds hr solutions workers compensation structural warranty builder risk and commercial bonds,315220,198
a dutch llc also known as a limited liability company or besloten vennootschap bv in dutch is a popular legal entity for businesses in the netherlands shareholders are provided with limited liability protection enabling them to protect their assets from any financial obligations or debts incurred by the business,424330,550
amglo kemlite laboratories is a global manufacturer of specialty lamps and was established in 1935 it services o e m equipment manufacturers and distributors in the fields of aerospace lighting airfield lighting medical lighting vehicular lighting obstruction lighting railroad lighting and laser lamp industries,335110,428
w b mason company inc provides retail sales of home and office products the company offers office supplies paper ink and toner furniture coffee school supples and printing services w b mason serves customers in the united states,442110,588
profile us vinyl record optical disc and cassette manufacturer and pressing plant located in southern california established by jack brown the plant was active from 1939 until 2019,334614,427
bps direct llc doing business as bass pro shops is an american privately held sporting goods retailer that offers hunting fishing camping and other related outdoor recreation equipment marine manufacturing and sales and outdoor resorts,454110,658
